model,r2,mae,rmse
LinearRegression,0.8152739049486445,1.4452707604438046,2.2336677384212464
GradientBoosting,0.8028557320347378,1.4656967533619045,2.3075255790598317
RandomForest,0.8018183322381498,1.4883592720496035,2.3135888688773383
XGBoost,0.7857668674650656,1.4885814141244942,2.4054579302448444
DecisionTree,0.7659060546870547,1.5124186022942847,2.5144878258784824
LinearSVR,0.6937857333417896,1.4833359005850335,2.8758561383863213
